cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,GB4 0,2100,7693084580.886308,1923483582.996169,252842206.9134242
39,vopt,,GR0 0,2030,5979639854.319987,5979639854.319987,5979639854.319987
39,vopt,,GR0 0,2040,12375684474.598284,10152371718.528055,7597596720.594493
39,vopt,,GR0 0,2050,13777525598.223787,9271879768.767048,5192604497.984089
39,vopt,,GR0 0,2060,13422934098.068624,7410411160.239513,3105764245.086837
39,vopt,,GR0 0,2070,14519546734.55925,6575763548.9159775,2062438922.601237
39,vopt,,GR0 0,2080,15135822916.589346,5623380232.449169,1319900169.1205568
39,vopt,,GR0 0,2090,16441523341.29742,5011084748.000328,880205563.2665658
39,vopt,,GR0 0,2100,18616741396.73545,4654699434.148209,611860942.2262192
39,vopt,,HR0 0,2030,1709091248.3424418,1709091248.3424418,1709091248.3424418
39,vopt,,HR0 0,2040,1987401589.439188,1630361515.065619,1220092175.864688
39,vopt,,HR0 0,2050,1816461719.2248185,1222426664.72648,684605318.0172431
39,vopt,,HR0 0,2060,1642118314.207355,906565717.5346483,379949145.9323561
39,vopt,,HR0 0,2070,1423562150.637454,644717653.4441841,202210856.9841478
39,vopt,,HR0 0,2080,1411893687.9868007,524557871.68616104,123122391.68122831
39,vopt,,HR0 0,2090,1378559295.390409,420160426.4973073,73801893.89432347
39,vopt,,HR0 0,2100,1390532115.3061593,347671427.14973104,45701461.503689304
39,vopt,,HU0 0,2030,3413900472.5862045,3413900472.5862045,3413900472.5862045
39,vopt,,HU0 0,2040,6759910933.236426,5545481441.387976,4149998914.668924
39,vopt,,HU0 0,2050,6466215548.195765,4351577697.633352,2437048634.1048565
39,vopt,,HU0 0,2060,5795753659.868953,3199666875.312429,1341006694.8583288
39,vopt,,HU0 0,2070,3082040403.3454165,1395826557.888778,437790531.97022265
39,vopt,,HU0 0,2080,3050889222.428459,1133490411.4128177,266048910.7756295
39,vopt,,HU0 0,2090,2935603263.4256625,894719816.0515155,157159058.21941024
39,vopt,,HU0 0,2100,2732587450.0003943,683222320.5027571,89809677.01286171
39,vopt,,IE4 0,2030,3450865181.898441,3450865181.898441,3450865181.898441
39,vopt,,IE4 0,2040,11130656160.146822,9131014857.471369,6833257337.319228
39,vopt,,IE4 0,2050,10669951670.088264,7180571599.617844,4021392567.219473
39,vopt,,IE4 0,2060,9767618287.529219,5392417711.212698,2260006598.81281
39,vopt,,IE4 0,2070,6764352177.853758,3063510266.287344,960847020.4226061
39,vopt,,IE4 0,2080,6425066751.319802,2387091442.642203,560289766.7614115
39,vopt,,IE4 0,2090,6419218765.486348,1956464044.2415218,343656238.6536352
39,vopt,,IE4 0,2100,6292229853.38827,1573231217.748598,206801480.7077465
39,vopt,,IT0 0,2030,29417961655.056343,29417961655.056343,29417961655.056343
39,vopt,,IT0 0,2040,44146439113.16809,36215456272.029495,27102084068.20405
39,vopt,,IT0 0,2050,45954847386.12588,30926294908.21846,17319898666.864635
39,vopt,,IT0 0,2060,43853619915.68622,24210306931.840046,10146738690.415194
39,vopt,,IT0 0,2070,44574422658.286674,20187328784.353645,6331604279.637286
39,vopt,,IT0 0,2080,45931603560.09874,17064871393.37869,4005407016.258469
39,vopt,,IT0 0,2090,45342654792.070564,13819637094.798473,2427442772.34998
39,vopt,,IT0 0,2100,47501803217.52395,11876762524.960495,1561202224.1021876
39,vopt,,IT5 0,2030,2874281859.6844044,2874281859.6844044,2874281859.6844044
39,vopt,,IT5 0,2040,3427753030.077281,2811951370.615809,2104343015.0289392
39,vopt,,IT5 0,2050,3647382054.3779716,2454583563.4891486,1374659936.3147757
39,vopt,,IT5 0,2060,3215109226.277224,1774968208.7183828,743903769.9259332
39,vopt,,IT5 0,2070,3473918315.7432585,1573304308.3365602,493455097.41518253
39,vopt,,IT5 0,2080,3656884607.08569,1358634593.2532322,318893966.84580135
39,vopt,,IT5 0,2090,3506767440.527337,1068800528.4687934,187736631.58578375
39,vopt,,IT5 0,2100,3154429410.576622,788694459.4420913,103674005.57435673
39,vopt,,LT0 0,2030,1658745955.5250273,1658745955.5250273,1658745955.5250273
39,vopt,,LT0 0,2040,2159274776.275518,1771357391.680927,1325607403.191798
39,vopt,,LT0 0,2050,1964029257.1421773,1321735387.4421988,740221971.0717584
39,vopt,,LT0 0,2060,1715967944.0868337,947335948.3530495,397036284.8780493
39,vopt,,LT0 0,2070,1580870395.7996368,715961049.907746,224555813.9996694
39,vopt,,LT0 0,2080,1526309870.1864624,567066673.5398539,133099909.19498974
39,vopt,,LT0 0,2090,1505462043.9235144,458838133.81511253,80595699.0019129
39,vopt,,LT0 0,2100,1530051686.5778599,382555172.67809004,50286935.11145346
39,vopt,,LU0 0,2030,751914759.9911451,751914759.9911451,751914759.9911451
39,vopt,,LU0 0,2040,1057068011.6814835,867163946.2353157,648948062.2652408
39,vopt,,LU0 0,2050,1047425107.5495691,704887070.9584839,394763507.13255394
39,vopt,,LU0 0,2060,1011011886.1808614,558150230.7731253,233925350.78527427
39,vopt,,LU0 0,2070,875000914.8520291,396279527.6147968,124290101.96352363
39,vopt,,LU0 0,2080,783147965.9548172,290961305.183231,68293421.402099
