cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.43817274071216,-445.95557551763943,-322.2128120775088,-309.1523874066067,-306.4329504652548,-304.2460159596828,-302.4126085802011,-278.2874165249916
co2_storage_shadow,57.13781503265612,299.3917099188748,196.45446925928312,190.45627585687936,192.39341403308993,184.8929344647936,188.50088403780126,178.56386191374327
line_volume,308995893.2719461,493830181.4534036,494706379.86698043,494923955.7374122,500418782.9671773,500548896.490432,500574726.1750897,500611184.77344877
line_volume_AC,189332882.86541593,204147315.17776892,205007864.26516128,205225438.54821053,205872471.11773202,206002579.70944875,206028402.6849424,206064858.7268768
line_volume_DC,119663010.40653011,289682866.2756347,289698515.60181916,289698517.1892017,294546311.8494453,294546316.78098327,294546323.49014735,294546326.04657197
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713936139874.6501,839374463058.8569,772297705835.271,739973698409.9215,687652322916.4531,670865813508.353,662198818375.4004,648895726159.6902
