cluster,,,,39,39,39,39,39,39,39,39
ll,,,,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,,,,
planning_horizon,,,,2030,2040,2050,2060,2070,2080,2090,2100
AC,generators,AL0 0,offwind-ac,1.0152372801053144,3.1154381116698193,0.47271147585982143,0.9101736391962291,2.4414785118750197,1.1533832048300883,2.0368500024349565,1.7977126923483668
AC,generators,AL0 0,offwind-float,1.688232092204544,5.880162740775795,0.9501199041336814,1.4390268061811717,3.857280629731876,1.6838543085634163,3.08077756666969,2.5529794415063405
AC,generators,AL0 0,onwind,0.4401428601109473,0.7408188860753514,0.12655727823242957,0.10773766263257588,0.4469744697291522,0.22798926433401728,0.3924721181663292,0.4178144284763733
AC,generators,AL0 0,ror,163767.93382125435,163464.71152120177,163877.06505421153,163868.7947053779,163824.66010000452,163864.90614348996,163812.42833451944,163855.0053051902
AC,generators,AL0 0,solar,219213.4885809674,4858874.0721150385,7660401.351695673,7574045.958509808,8461426.29905908,8018061.575274663,7633508.337538702,7555158.682651827
AC,generators,AL0 0,solar-hsat,3068810.3340603635,2428679.3690956384,2440552.8383356743,2441418.0682911887,5.323142407155036,2.7617457176432643,4.949992974662547,4.745207443529601
AC,generators,AT0 0,onwind,4470200.404211117,3340586.9881507764,844908.5977374172,0.5287331480696704,1.88599973459425,1.0295042851530813,1.7976071428498792,2.2318804910379146
AC,generators,AT0 0,ror,19254126.320444357,19254055.97575353,19254268.105304986,19254255.869016588,19254259.089784037,19254273.048422404,19254279.344381344,19254281.656304687
AC,generators,AT0 0,solar,7590918.602126099,33904155.83743779,37786756.80307227,35646325.43206594,39056690.18488832,34104348.046188615,30809314.737895705,30809350.945995044
AC,generators,AT0 0,solar-hsat,17444952.6205457,15778955.943507062,16035595.949073924,15959930.410835393,4.138889449155396,2.1160403444606413,3.8889773178044633,3.8359962481459298
AC,generators,BA0 0,offwind-ac,0.46213192683859927,1.0870584558959226,0.10710952337391286,0.14939149365453386,0.3985525382099637,0.17474181651334325,0.4376663803582723,0.2895740214848228
AC,generators,BA0 0,offwind-float,0.21604305768404558,0.43530816385687826,0.04472695505971076,0.0626806628895974,0.16333950096850475,0.07791384602643311,0.19183405583783797,0.1355951297091028
AC,generators,BA0 0,onwind,55099.95548616357,53617.847298695546,19298.390972084475,0.08319623517659233,0.18287059343181863,0.14007936285097164,0.23112676052813386,0.30131831160301337
AC,generators,BA0 0,solar,146633.43751720147,102258.95891488512,109556.69640869046,85842.0875187026,14.028325304956907,7.367104580975209,14.8209097972424,11.257383990029021
AC,generators,BA0 0,solar-hsat,13.789512691868172,7.483786930908954,1.246494311263886,1.4341378675663312,3.272948337681748,1.751224855529041,3.292723523569549,3.332786462792549
AC,generators,BE0 0,offwind-ac,10090229.759732679,9307420.015254691,3691641.959646832,3691599.743817272,3656470.4740846776,3691619.929690722,3691600.846178486,3685228.3368980326
AC,generators,BE0 0,offwind-dc,4250676.600712128,4287023.233403817,4256897.0501643345,4299913.772729732,4299791.064188732,4299783.392514394,4299905.446294541,4299929.12786031
AC,generators,BE0 0,offwind-float,4.002355530614061,15.119555328669158,1.3545290120718096,1.5554260810095126,3.378172080012037,1.3510459598793236,3.1532110253587575,1.943128300875606
AC,generators,BE0 0,onwind,38123688.98037721,38100551.174550265,38359624.162122615,38554701.880840324,38508725.84314579,38504282.3832702,20647731.261733234,18862289.431779258
AC,generators,BE0 0,ror,292235.788908438,292227.3277067202,292421.99246257497,292416.2062552719,292389.76665301656,292410.7569118126,292411.0828396987,292428.895189557
AC,generators,BE0 0,solar,8264776.5500323605,21424716.183163982,27976482.47579535,30588580.60026949,28712096.946846824,28925271.615165558,21577030.62336051,14496800.538630297
AC,generators,BE0 0,solar-hsat,4.9508343349998105,18.704233881483724,1.8957054550861645,2.0049334883219,4.22074079501704,2.154547710329562,3.768294415466019,3.2387350133120387
AC,generators,BG0 0,offwind-ac,4.74660126376868,4111114.7223447612,4108062.769438374,4063878.3987835036,20.899150445665185,5.915909375076208,6.459293774333977,4.013665057208858
AC,generators,BG0 0,offwind-dc,54280.23514762582,51855.548006247525,53838.06170264257,55317.31370480987,55282.8649808392,54755.779097568324,20.640247067320736,4.126584725366751
AC,generators,BG0 0,offwind-float,3.165989106562116,34.10371920458375,1.754970973960227,2.6180644281735956,7.9644979753692375,3.0668043859284397,5.177776642721769,3.87764486819502
AC,generators,BG0 0,onwind,774243.0938703655,227534.8437553354,0.7450345355317805,0.6195576817755708,2.609602418317518,1.2713018283185231,2.155624272976799,2.549217315430037
AC,generators,BG0 0,ror,216583.9105927265,216368.36085092655,216696.75744795447,216688.3526936616,216671.41952206398,216690.2071000908,216675.23658766184,216689.52490984142
AC,generators,BG0 0,solar,3820576.995532196,3414602.6971615115,4344848.003304753,2904291.2991488483,5059317.483084521,5012022.9298936725,4318511.441990975,4335589.132328572
AC,generators,BG0 0,solar-hsat,41.32155484529753,11.926720827193297,2.1982954577237814,1.6332392189752878,4.133789254974093,2.1022922044823114,3.58149667671013,4.353521409067003
AC,generators,CH0 0,onwind,27743.176963638827,16308.735033113575,0.05887112849581304,0.05287115610705874,0.19330961159396268,0.10462886947973252,0.1978564594209094,0.2381636291559912
AC,generators,CH0 0,ror,10228102.572564092,10227856.993417237,10228207.759385865,10228182.329985678,10228112.225108786,10228161.009750608,10228086.463591758,10228160.832609434
AC,generators,CH0 0,solar,7057082.721072651,33358303.24659072,42992070.95450837,42117451.398964025,66269608.13182374,63756015.44868073,64813425.42451235,73296281.02982822
