cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.44131654992056,-445.9413104832489,-322.0864545732448,-309.14010274291763,-306.43801615412895,-304.2606419463445,-274.27339693155164,-277.1915050466547
co2_storage_shadow,57.13733600936611,299.3904972694147,196.30057664604132,190.45257490596575,192.24104301896088,184.87642928805138,160.445107935355,177.34984959971177
line_volume,308992336.09808415,493846610.71511424,495110407.19319844,495802446.9341744,502071503.66633666,502101779.8854686,502287966.6459491,502375867.6615051
line_volume_AC,189333363.83218044,204153920.36620718,205287005.7222247,205839738.80104497,207399432.17967626,207429706.93751946,207615886.80559674,207703784.56262973
line_volume_DC,119658972.26590371,289692690.34890705,289823401.47097373,289962708.1331294,294672071.48666036,294672072.9479492,294672079.84035236,294672083.0988754
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,714001221742.0334,839361894094.6877,772339006558.8052,740314076497.0333,688097875906.6104,671123979895.9095,662351648169.8629,649780659223.4116
