cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334,714001221742.0334
39,vopt,,2040,839361894094.6877,759863372990.3142,688569102800.5671,624564077792.0464,567042820328.1257,515295391301.8039,468695297604.05396,426689024707.89026,388786963491.0857,354555534962.03076
39,vopt,,2050,772339006558.8052,632966162051.069,519762010855.2318,427625381943.9708,352485440635.5128,291086448784.595,240818953003.5379,199587075909.18024,165703949365.42145,137809136153.83972
39,vopt,,2060,740314076497.0333,549255979713.55914,408705850336.05945,304999597400.02356,228252649947.53818,171291982223.90115,128896180773.8838,97252926018.3776,73570438171.34462,55798313037.16442
39,vopt,,2070,688097875906.6104,462163098195.8751,311632932707.4238,210941110981.09708,143323249207.1869,97741332272.52625,66898380853.21647,45951438328.87178,31673787429.931175,21907372843.046623
39,vopt,,2080,671123979895.9095,408069435956.47894,249341270895.34476,153088131230.93314,94435610424.00586,58524512307.46026,36434221444.446594,22783155408.903103,14309187764.207035,9025636939.096262
39,vopt,,2090,662351648169.8629,364591210350.84314,201873036522.11127,112422991921.33768,62963413291.88405,35459342389.12723,20078751529.313244,11430413993.622269,6541288322.8244705,3762692648.528827
39,vopt,,2100,649780659223.4116,323795355973.12524,162463107928.11642,82065581473.69205,41728524589.312904,21355800025.375412,10999076227.069725,5700360767.753102,2972377028.6763697,1559236255.7320445
39,vopt,,cumulative cost,50554794216056.31,36958075481157.19,28181163689518.133,22316746928772.715,18263680569999.266,15370775201631.182,13243219341930.033,11635448256217.387,10390724139301.693,9406389155825.895
