cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,,2030,105602523893.33398,105602523893.33398,105602523893.33398
39,vopt,,,2040,50757695929.32422,41638989561.2012,31160822250.203976
39,vopt,,,2050,30431014651.782055,20479200498.040596,11469129375.410837
39,vopt,,,2060,26273060028.955566,14504591606.408081,6078993597.881938
39,vopt,,,2070,26566042656.24785,12031506088.416779,3773591655.125006
39,vopt,,,2080,26747044437.214104,9937272772.913883,2332441960.4209466
39,vopt,,,2090,26943759750.92868,8211980163.816708,1442448289.9656754
39,vopt,,,2100,27245037381.37205,6812011693.123558,895439963.8423336
39,vopt,,AL0 0,2030,711290755.3948097,711290755.3948097,711290755.3948097
39,vopt,,AL0 0,2040,1065863200.6108456,874379064.5205985,654347545.3163711
39,vopt,,AL0 0,2050,1238162629.179584,833247955.163562,466650473.024168
39,vopt,,AL0 0,2060,1284464900.4663253,709115679.4639379,297196211.55789876
39,vopt,,AL0 0,2070,1103345954.4992945,499694807.4261361,156725528.9201034
39,vopt,,AL0 0,2080,1104118364.6541328,410210757.6374342,96283236.41649021
39,vopt,,AL0 0,2090,1057096916.3521267,322184394.032695,56592237.06771501
39,vopt,,AL0 0,2100,1056842346.087509,264239770.29513973,34734357.63441733
39,vopt,,AT0 0,2030,8373621202.769499,8373621202.769499,8373621202.769499
39,vopt,,AT0 0,2040,12487787626.868582,10244335348.903639,7666418331.536926
39,vopt,,AT0 0,2050,13433174089.245728,9040141074.712313,5062822035.838811
39,vopt,,AT0 0,2060,13885898853.653664,7666000524.421714,3212883849.051686
39,vopt,,AT0 0,2070,12281066408.853724,5561977264.823218,1744472457.4206479
39,vopt,,AT0 0,2080,11005819607.374739,4088968849.7993236,959748488.1487783
39,vopt,,AT0 0,2090,10937835959.429926,3333658433.872568,585562776.7413183
39,vopt,,AT0 0,2100,10709509697.18464,2677673158.001298,351980540.2275869
39,vopt,,BA0 0,2030,1149202418.5603356,1149202418.5603356,1149202418.5603356
39,vopt,,BA0 0,2040,1864779112.687248,1529768374.7356842,1144812612.2046783
39,vopt,,BA0 0,2050,1926692555.5768366,1296608857.6159139,726150160.9266136
39,vopt,,BA0 0,2060,1933599553.863258,1067484024.6324493,447391331.49498564
39,vopt,,BA0 0,2070,1844286844.5409775,835259834.7448322,261972983.19024923
39,vopt,,BA0 0,2080,1717619632.7791986,638143584.466145,149782833.49927765
39,vopt,,BA0 0,2090,1744126640.8597476,531578870.5928781,93372733.19864008
39,vopt,,BA0 0,2100,1705482120.1839852,426417625.43698144,56052661.138040505
39,vopt,,BE0 0,2030,7400382905.85384,7400382905.85384,7400382905.85384
39,vopt,,BE0 0,2040,16687324878.77342,13689418593.766155,10244569909.219444
39,vopt,,BE0 0,2050,17080889026.696297,11494948658.966597,6437607432.282675
39,vopt,,BE0 0,2060,16658290778.014324,9196557398.704231,3854352819.1843596
39,vopt,,BE0 0,2070,16472240535.034626,7460119854.942906,2339810645.813284
39,vopt,,BE0 0,2080,14678483295.429754,5453465811.586999,1280018449.6633039
39,vopt,,BE0 0,2090,14608033930.081978,4452269689.721379,782048747.3534958
39,vopt,,BE0 0,2100,13065798628.607882,3266810457.706643,429422727.0751009
39,vopt,,BG0 0,2030,2925103270.9032598,2925103270.9032598,2925103270.9032598
39,vopt,,BG0 0,2040,4328955329.485897,3551251144.7792478,2657603050.757296
39,vopt,,BG0 0,2050,4431618821.918189,2982352426.4130425,1670230526.0830016
39,vopt,,BG0 0,2060,3934705790.1587343,2172236523.447338,910402186.9383591
39,vopt,,BG0 0,2070,3749960036.480337,1698320957.8496227,532665631.98062354
39,vopt,,BG0 0,2080,3431146669.754207,1274766655.4807575,299208777.39143836
39,vopt,,BG0 0,2090,3362083466.185711,1024703418.8486466,179990899.24168047
