cluster,,39,39,39,39,39,39,39,39
ll,,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,,
planning_horizon,,2030,2040,2050,2060,2070,2080,2090,2100
generators,coal,340971644.342977,106197623.78658065,21818.886341897574,497806.9099735909,0.0011812368143062728,0.0006103203986849597,0.006855075918884227,0.0009327509669539118
generators,fusion,,18289754.55593234,383164931.0723613,706612566.9027007,1471730405.8125112,1681280988.8573709,2104186310.6773021,2594461821.724101
generators,gas,3423839302.3362155,404871896.8724203,107346254.72897758,209880400.28874385,189034737.47928658,373683052.2154149,375665702.9020922,373349394.22384715
generators,lignite,8273.515469178636,79742.49821414327,161770.82481063754,218678.80654321343,0.021848550629909466,0.0006271005745225326,0.0010621150270819215,0.0004979087256770464
generators,offwind-ac,309723093.5430206,928767656.3689797,899311391.4863296,888142041.3190069,743133869.6533654,722121759.44794,668671113.9250172,359317243.12871164
generators,offwind-dc,501906235.22641397,1271489680.0704508,1281963471.3115528,1282730089.0514693,958008916.4838508,956336462.5495641,634139865.0959722,236976860.1165572
generators,offwind-float,108342782.07284531,525406558.4034131,526554568.3794699,418039666.3732292,65551309.69215095,65551279.581996456,65551281.13487329,109.87347285203576
generators,oil primary,4426789521.088669,1524354843.4441283,215917089.40935364,136240324.52794313,153291022.8712121,11088120.044479033,9561224.50639875,11345079.515483527
generators,onwind,1083041041.4371824,2309799410.930983,2233737732.1586,2149457993.8001156,1909164362.3125548,1859437177.7297747,1803394993.2330666,1812280347.4120142
generators,ror,167128676.6739494,167009990.81886157,167119147.2260673,167085239.34401685,167145850.82651794,167079236.54198647,167095765.75240883,167144784.0110255
generators,rural solar thermal,24.901893587700023,12.286706299295139,5.111975116973122,6.957650559402235,12.651758846700272,10.172727473676737,18.83886964943296,13.805332876590654
generators,solar,301442116.635893,1529631615.0110784,1826390068.1583016,1933498282.1307395,2168318205.969107,2330499578.53017,2333508942.7330847,2598392297.967695
generators,solar rooftop,749746629.0142597,1126408884.2230299,1129763487.5449305,1129460325.340304,1129509035.9233477,1130305474.8256545,1130428650.5391812,1130442014.0788512
generators,solar-hsat,198407437.018843,163984894.18008742,166392026.37627044,161781137.32377088,83.63861060641347,58.859210676622354,80.96342065750699,71.02816028591835
generators,urban central solar thermal,67.73393358008313,22.527101106901252,11.89042000678781,12.230137587297325,22.408180623355832,18.772530460342836,36.521650748652654,20.664304868347124
generators,urban decentral solar thermal,25.61022530162165,11.63247331007754,4.710266888571186,6.063509042092441,11.46060434908189,9.367170337783135,17.38637441804681,11.747880512529555
lines,AC,-13919778.305030972,-20639720.531767905,-17761317.05869858,-16073154.474015929,-14566006.267811619,-14138845.443629347,-12130663.913438097,-10090971.877619974
links,BEV charger,-42203017.535098314,-89451966.10310495,-121388244.51578856,-121495435.73477435,-123009341.85348678,-122287224.01546001,-121662729.54006958,-122831514.58771467
links,CCGT,-81297785.30947094,-7760687.059268572,-4694318.404590946,-965894.2928493527,,,,
links,DAC,-87.73877991386188,-12189484.150788935,-120941282.07531238,-142143602.0642695,-147760316.69563746,-215679018.43264103,-220889028.57510924,-229670767.45949987
links,DC,-28006815.925896168,-64053440.035853624,-60848683.154233456,-59575394.80727148,-60344612.45971632,-59748143.80117011,-57835801.717341185,-55185571.13509464
links,Fischer-Tropsch,-128.14074647840226,-473009753.4101486,-423865473.8938334,-458770810.9582192,-451301128.22675556,-513598337.3853655,-514267250.8282588,-513485768.1993048
links,H2 Electrolysis,-25.67223896329654,-831159355.3135821,-843211573.7422733,-899584734.4341649,-753445060.9171871,-817967535.0361867,-818624621.2600411,-817940543.679249
links,H2 Fuel Cell,-28.09998189022163,-9.583059348184417,-4.725608794964982,-8.434477879295708,-15.637835096654797,-12.415182332853275,-17.14024349155286,-16.663297315095903
links,H2 pipeline,-244.89751263011132,-2083532.4256030926,-2404494.819094732,-3063291.0613466655,-2882079.166032896,-2189282.4916164773,-1916390.9529813386,-1489217.113548461
links,OCGT,-62.79502848184903,-1339.568056087865,-859.8587644549152,-11.381433642322094,-14.519956093433944,-12.508541659856103,-16.830050933925804,-16.31489434096931
links,SMR,-95.31994085447747,-1.5821991824760184,-0.9019957932367593,-1.6394187521252714,-2.6159000377253765,-1.7841704115219503,-3.9484337897546524,-3.285146756628958
links,SMR CC,-45419394.47319028,-3872384.300610621,-5690313.3948687455,-12.4887848235928,-16.17098036307345,-13.42385442605492,-26.38907970601997,-18.395191778887384
links,Sabatier,-43.41569529634094,-25.952963765873022,-9.939611773781598,-20.975815829075316,-38.48699264349049,-32.93131395984098,-39.71147639417451,-46.9721205820821
links,V2G,-8566479.269956872,-11868884.292588562,-11195298.34917359,-11291770.446491703,-12654285.953704834,-12004379.899286762,-11442334.87255095,-12494241.414823756
links,agriculture machinery oil,26442127.911990326,26442127.911990326,26442127.911990326,26442127.911990326,26442127.911990326,26442127.911990326,26442127.911990326,26442127.911990326
links,battery charger,-475225.69990706816,-10421230.880043507,-12466458.963949323,-14499078.016251683,-15293653.957734346,-17813664.623705626,-18104347.27167964,-20007346.197435856
links,battery discharger,-465624.19098737836,-10210679.259138584,-12214585.344411612,-14206137.152255058,-14984659.399670482,-17453755.510867476,-17738565.176735163,-19603115.716390967
links,biogas to gas,-12926641.653241146,-69576250.48951769,-61891743.37037662,-36084628.54560165,-41896160.65942932,-3.4752556980216496,-1.2684033976719546,-2.786503764900782
links,co2 sequestered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,coal,-28.1706790194942,-49872.56848150021,-7285.326101160436,-166217.7271128077,,,,
