cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776,713778747348.3776
39,vopt,,2040,839370478215.7991,759871144083.1738,688576144769.7267,624570465184.3301,567048619452.7694,515300661207.5241,468700090932.44696,426693388439.7808,388790939600.0854,354559160987.5559
39,vopt,,2050,762650457012.3026,625025964844.6438,513241894751.0385,422261066966.8393,348063713094.8646,287434936356.2242,237798017458.26837,197083370596.66028,163625288427.87393,136080399637.5577
39,vopt,,2060,720362109580.1525,534453158202.9947,397690950223.35925,296779651203.9693,222101086084.27573,166675547023.00717,125422341202.06104,94631893642.9432,71587664920.02313,54294510622.64998
39,vopt,,2070,650984374253.839,437235698316.68915,294824583534.92224,199563713164.37006,135592913403.83466,92469519607.70586,63290125029.0108,43472984547.68722,29965418310.812107,20725768674.96656
39,vopt,,2080,634947025060.864,386072442857.7526,235900523483.67755,144835911707.8251,89345056494.37413,55369747015.3328,34470233830.93556,21555028849.700813,13537850641.739449,8539109755.320401
39,vopt,,2090,621345201180.5051,342019227354.57904,189374998669.2611,105462840963.23958,59065323996.63325,33264040772.56911,18835668247.98635,10722752637.61749,6136314630.08412,3529742889.8085556
39,vopt,,2100,604098097231.4232,301031056648.4289,151041205946.28857,76295994521.74873,38794817830.99883,19854389288.22959,10225790696.844429,5299599248.533977,2763405284.213622,1449614792.0865033
39,vopt,,cumulative cost,48885980675933.625,35920825376582.36,27520190720793.188,21885110201256.367,17975034951164.4,15173310203006.668,13105187457233.201,11536985920128.457,10319145528469.137,9353428736380.91
