cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.31585705701191,-361.81958701388805,-304.69916617334405,-273.40034629828983,-261.38720887139345,-241.56699761840747,-224.00452686597825,-221.27970625225214
co2_storage_shadow,57.014057198045656,233.06271323321872,185.6372759231334,164.73652099091325,153.12179613345836,130.06251679870948,117.3031070686434,129.83784672964754
line_volume,309141199.1937223,310297634.98580784,310331311.95197326,310442469.93624717,310461000.73250806,310461013.0690836,310461020.611112,310461032.0862571
line_volume_AC,189424891.78111613,189424899.5094539,189458575.17012948,189569727.42869517,189588248.81946406,189588256.93932635,189588260.63497996,189588268.46721
line_volume_DC,119716307.41260618,120872735.47635393,120872736.78184377,120872742.507552,120872751.91304398,120872756.12975723,120872759.97613202,120872763.61904714
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713834139606.9742,793701565410.8363,717024126123.8928,680169358722.1436,638103225334.953,594451654496.4233,582175363062.6885,569688372996.0754
