cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.4381064879224,-445.93630678932675,-323.2634993080723,-309.1384274050009,-306.4501295880094,-304.24653376705106,-302.4212087194374,-278.2383947207917
co2_storage_shadow,57.134630514668906,299.38382688055935,197.2795505986641,190.4652455231122,192.3457259552809,185.00415046011096,188.60584363725593,178.5293700128154
line_volume,308989159.4659711,493851733.1651098,498872853.8789941,499699506.07449865,505259466.2317268,505515633.0056069,505607430.1520858,505642357.3755363
line_volume_AC,189332959.5188051,204154356.0534699,206613485.15897965,207440135.47860077,208152965.63235682,208409130.2654171,208500926.16627005,208535850.23110187
line_volume_DC,119656199.947166,289697377.1116399,292259368.72001445,292259370.59589785,297106500.59937,297106502.7401898,297106503.98581576,297106507.14443445
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713966193072.7888,839375893404.8534,772678048208.0281,740087600402.2067,687723897105.0022,670329496559.8749,663177636179.5648,649115787643.2484
