cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077,713950031815.077
39,vopt,,2040,839367537085.1503,759868481515.9653,688573732018.1992,624568276706.9114,567046632530.2872,515298855608.4384,468698448620.4544,426691893318.0974,388789577287.52124,354557918622.18536
39,vopt,,2050,772674234336.6389,633240896122.696,519987609539.77545,427810989436.6871,352638434217.32025,291212792608.42737,240923478609.24997,199673705137.24353,165775871884.22772,137868951144.51834
39,vopt,,2060,740106703743.1521,549102125114.93,408591365875.47406,304914162571.1402,228188713056.28754,171244000845.18738,128860075076.55826,97225684057.5238,73549830020.2204,55782683117.10239
39,vopt,,2070,687659214876.4934,461868470138.1013,311434267331.3685,210806636441.53384,143231880920.29297,97679022367.20474,66855733268.20604,45922144378.144005,31653595453.312424,21893406936.342106
39,vopt,,2080,670241300443.8552,407532732579.87476,249013330867.92603,152886785798.73462,94311406289.8064,58447539369.51918,36386302222.98531,22753190419.221886,14290367953.868843,9013766190.163883
39,vopt,,2090,662996578549.3342,364946212030.5297,202069599864.87485,112532457947.4908,63024720632.38716,35493869074.772255,20098302166.620316,11441543763.216396,6547657561.237219,3766356374.291954
39,vopt,,2100,649390063156.4395,323600716150.0531,162365448125.406,82016250221.82664,41703440743.93558,21342962629.58877,10992464463.771393,5696934167.615653,2970590273.776113,1558298967.832929
39,vopt,,cumulative cost,50547156165203.82,36953342914846.625,28178276454678.594,22315024499209.5,18262685239258.88,15370225770958.822,13242935881034.986,11635316440647.934,10390672112048.145,9406372477760.59
