cluster,,,39,39,39,39,39,39,39,39
ll,,,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,,,
planning_horizon,,,2030,2040,2050,2060,2070,2080,2090,2100
AC,generators,fusion,,130.34262117894332,44.60170518330599,58.627299335593754,2288384.4833402582,12179042.92712117,44929208.412266985,273998977.42476535
AC,generators,offwind-ac,319484862.931634,934669274.8857502,906696819.5715472,867602016.247382,791715766.6603296,788371280.4366572,788065584.1843262,631532485.0025681
AC,generators,offwind-dc,501806790.8157849,1279047860.623899,1282365136.9171891,1272737775.6404169,1233436194.385621,1228917790.4696531,1170155958.262249,882736081.0353537
AC,generators,offwind-float,108148761.27621779,526952696.43845135,545963630.442112,534471448.4508415,421941541.6216027,402993838.8315642,300646003.2484918,238714249.9186364
AC,generators,onwind,1073568632.8011019,2305240297.2600884,2250386660.488136,2245995659.4245253,2031055475.602811,1954210115.739796,1903232665.6711287,1895784375.4334269
AC,generators,ror,167097935.15027258,167019671.3499655,167095830.80909845,166985688.30389374,167128349.67836314,166895186.29761308,167121909.57785395,167117093.30891705
AC,generators,solar,301895922.5956691,1546061289.220064,2170035890.6198926,2434895094.069722,2909298197.792161,3185328130.7402945,3396669388.013228,3707529276.4810247
AC,generators,solar-hsat,197928635.97804788,158158251.72033426,145335046.82614255,138224327.9098235,476.9437672122302,300.7087952662347,55.62867237481982,416.6104495876178
AC,lines,AC0,111464609.44303092,99771781.15156059,107851112.68417826,59150720.23094763,34093169.023776084,12222103.246152496,-26092620.542239413,55021145.441826664
AC,lines,AC1,-125357949.07172233,-120694658.87027583,-129765539.02191442,-81563923.10818297,-60257720.036582835,-39258859.737652525,-2596304.9573097695,-78349585.4759344
AC,links,CCGT1,212393692.70586702,20495200.151789412,17435031.785684027,3728646.148058886,,,,
AC,links,DAC0,-28.407550622137496,-3428135.563551069,-34368645.92542383,-37455235.262261644,-43135297.741623625,-55286885.82915372,-62540969.84273367,-68924481.44546242
AC,links,DC0,-735844168.767844,-1643119644.9872851,-1653691631.146336,-1646197734.5246086,-1732998289.4932578,-1728104315.622213,-1732273995.2841609,-1680388218.9755366
AC,links,DC1,707846577.3660967,1578734831.4398007,1589054563.9263346,1581786205.7522435,1665359362.0674677,1660586849.257422,1664478215.8178453,1614680414.6072927
AC,links,H2 Electrolysis0,-102.63090724308334,-2769434369.3499417,-2847456746.819008,-3037778984.2487483,-2940656176.852828,-3097132812.2488832,-3097132831.25847,-3097133217.595368
AC,links,H2 Fuel Cell1,41.32398042605541,18.569846192580144,9.165732795411266,13.145693143467174,99.39398328679242,78.2526339534214,12.959318442996556,112.28786401499305
AC,links,H2 pipeline2,-249.38697939761164,-2105205.738088364,-2823762.319266531,-3811220.2875720775,-4351369.873306016,-4055927.449609672,-4077783.127187424,-4109628.829077926
AC,links,OCGT1,72.69337404933559,1408.0619107443813,3093.1754803875738,23.39341566452699,643526.3901761476,740404.6620426034,717676.681763994,207.37705290092123
AC,links,battery charger0,-23505609.378705442,-521232312.2573628,-769146246.4055564,-934268425.6973081,-1164258943.6566625,-1323399646.2063673,-1436902282.7721992,-1603957187.1385658
AC,links,battery discharger1,22565385.004152875,500383019.7675216,738380396.5492258,896897688.6693411,1117688585.911855,1270463660.3596358,1379426191.460929,1539798899.6553705
AC,links,coal1,32.56019637721028,49291.77732025333,70531.35741900706,205590.2247774022,,,,
AC,links,electricity distribution grid0,-3275780004.278152,-4338096289.847885,-4706632586.368488,-4693414874.221427,-4663781589.986783,-4669872655.559184,-4680331943.625928,-4688665503.408019
AC,links,electricity distribution grid1,7421679.733179614,9687556.818806114,3994571.9033337664,4319794.842135898,4963173.656003505,5636799.062807157,4664161.713045577,4816141.477172044
AC,links,lignite1,2740.154521439811,37100.801067528475,131334.55638440273,108450.22631556191,,,,
AC,links,methanolisation2,-43252204.59234074,-97764324.72289477,-138648414.82610178,-138648414.8278967,-138648414.87581983,-138648414.8864725,-138648414.82410794,-138648414.894144
AC,links,nuclear1,0.04782516081552172,0.01309722980038647,0.0026356846400530693,0.003034755878725289,0.030087984596069636,0.04002638442068119,0.000718739310567026,0.04585115357805485
AC,links,oil1,8.228081447918681,9291.354307881145,15561.377277094549,,,,,
AC,links,urban central gas CHP CC1,106.15602354141733,32.19210300624381,32.242161813096146,39.138493323632574,354.925228520997,223.44803950503103,35.60126440688651,267.09782550567996
AC,links,urban central gas CHP1,177.55378824192115,29.79595805724562,1866030.4685130112,15300504.637989592,19505573.384617057,17834560.031179212,15808354.709844213,10015321.046769345
AC,links,urban central solid biomass CHP CC1,58.01148293130241,21221364.580287028,17944840.175744608,33265919.730450284,32851717.292297073,33108096.407107547,24386509.704710394,16711494.419320684
AC,links,urban central solid biomass CHP1,162591165.7049004,35664266.20723013,20517942.32451142,101.64206230476987,1602.6043149248676,543.6381221150198,4004905.6934709377,5065393.123603013
AC,storage_units,PHS,-31375292.636807937,-28180953.792462457,-23508315.431529954,-23426415.106690846,-24778043.631335814,-24491104.622001976,-24471233.995875143,-24136421.30810031
AC,storage_units,hydro,340897721.4489043,340851230.76762223,340897776.3191096,340889460.8554866,340894294.5925179,340761617.9565707,340761542.8586324,340790307.7190969
EV battery,links,BEV charger1,379900684.5699027,804883142.6106839,1092509000.1005125,1090949452.9514236,1092442893.6276617,1087812519.4985082,1088023019.1112714,1093188794.1947865
EV battery,links,V2G0,-85738319.45011666,-118504290.6098795,-111967782.94841112,-110408235.79994085,-111901676.49313414,-107271302.36777164,-107481801.95842497,-112647577.07001044
