cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,BA0 0,2070,1012859173.0327632,458714211.398983,143872272.30753383
39,vopt,,BA0 0,2080,997967138.1089704,370772617.2539307,87026453.83906257
39,vopt,,BA0 0,2090,992519923.69959,302502471.85094416,53135073.94408795
39,vopt,,BA0 0,2100,964728775.2175697,241208833.94228995,31706937.57935948
39,vopt,,BE0 0,2030,7403836230.805797,7403836230.805797,7403836230.805797
39,vopt,,BE0 0,2040,9469731841.744427,7768478416.648663,5813593885.123846
39,vopt,,BE0 0,2050,9119943213.426764,6137460342.20959,3437210681.5395427
39,vopt,,BE0 0,2060,8360242224.280956,4615446356.846181,1934371515.9991019
39,vopt,,BE0 0,2070,7974258922.170307,3611465434.0562835,1132709049.438758
39,vopt,,BE0 0,2080,7776888722.485667,2889330996.6021514,678173680.8502249
39,vopt,,BE0 0,2090,7836258826.356744,2388352725.6568995,419518220.4820958
39,vopt,,BE0 0,2100,7562488418.8247,1890830936.1824422,248550011.56799412
39,vopt,,BG0 0,2030,2925638853.0525804,2925638853.0525804,2925638853.0525804
39,vopt,,BG0 0,2040,3472746241.5700045,2848861475.169788,2131964943.8836846
39,vopt,,BG0 0,2050,3418017074.648315,2300227507.312179,1288214687.715289
39,vopt,,BG0 0,2060,2596777038.222888,1433605007.9743316,600835645.8321269
39,vopt,,BG0 0,2070,2454696718.09696,1111708615.8127687,348679070.162335
39,vopt,,BG0 0,2080,2445511083.8258467,908575553.691827,213257680.86187938
39,vopt,,BG0 0,2090,2426003289.4670534,739402781.0009276,129877356.71233635
39,vopt,,BG0 0,2100,2422853261.86333,605780220.4308958,79629901.2854914
39,vopt,,CH0 0,2030,8721739138.478476,8721739138.478476,8721739138.478476
39,vopt,,CH0 0,2040,10906435535.448366,8947075849.203045,6695605324.099658
39,vopt,,CH0 0,2050,11030907404.018068,7423484461.073581,4157432987.1203213
39,vopt,,CH0 0,2060,11277863749.048939,6226180265.731767,2609443340.5433316
39,vopt,,CH0 0,2070,10983710847.559935,4974417366.026,1560188701.5306118
39,vopt,,CH0 0,2080,10752200636.674877,3994742330.7479844,937631968.6728514
39,vopt,,CH0 0,2090,11261015299.727612,3432157765.681244,602864351.9882014
39,vopt,,CH0 0,2100,12273967649.325577,3068830847.1689644,403398277.42826104
39,vopt,,CZ0 0,2030,3284378011.7517247,3284378011.7517247,3284378011.7517247
39,vopt,,CZ0 0,2040,6734981445.220334,5525030578.277216,4134694371.5718594
39,vopt,,CZ0 0,2050,6226417545.492586,4190200516.0775447,2346671288.8720775
39,vopt,,CZ0 0,2060,6384830226.91246,3524878899.3573728,1477305728.003807
39,vopt,,CZ0 0,2070,4693149245.956763,2125482310.527636,666641586.778962
39,vopt,,CZ0 0,2080,5291949730.899604,1966106875.8434737,461477739.48493135
39,vopt,,CZ0 0,2090,7226505122.184894,2202510609.71759,386874736.57289094
39,vopt,,CZ0 0,2100,7938347293.50669,1984806033.8656826,260903052.32341525
39,vopt,,DE0 0,2030,48663869973.27736,48663869973.27736,48663869973.27736
39,vopt,,DE0 0,2040,63727892588.43462,52279068339.54884,39123397880.26193
39,vopt,,DE0 0,2050,58202687023.91787,39168739876.95705,21935980614.263496
39,vopt,,DE0 0,2060,53472539671.58945,29520632512.507977,12372339802.36151
39,vopt,,DE0 0,2070,47730732535.539635,21616791275.116,6779944469.702789
39,vopt,,DE0 0,2080,45460971288.4817,16890018382.24421,3964366128.1399856
39,vopt,,DE0 0,2090,44905687249.23328,13686457136.723475,2404049486.083967
39,vopt,,DE0 0,2100,51045493942.52334,12762783062.117624,1677669757.2622418
39,vopt,,DK0 0,2030,6978488618.512239,6978488618.512239,6978488618.512239
39,vopt,,DK0 0,2040,27663643267.533974,22693822722.874275,16983077243.162699
39,vopt,,DK0 0,2050,28151656048.51084,18945257500.165848,10610063090.141825
39,vopt,,DK0 0,2060,27364683546.147186,15107245171.975437,6331570662.182469
39,vopt,,DK0 0,2070,25740206064.520203,11657492611.514086,3656285132.9845166
39,vopt,,DK0 0,2080,25524754172.627487,9483157859.567614,2225853693.9069366
39,vopt,,DK0 0,2090,25225025634.40102,7688140484.34088,1350434958.8563993
39,vopt,,DK0 0,2100,19667144260.635345,4917329156.0758,646383658.760038
39,vopt,,DK1 0,2030,2291358419.802254,2291358419.802254,2291358419.802254
39,vopt,,DK1 0,2040,5696844971.97272,4673397087.410147,3497368631.6610875
39,vopt,,DK1 0,2050,5817828439.600567,3915231760.791963,2192678352.0448923
39,vopt,,DK1 0,2060,5727719088.787815,3162106969.1742983,1325265029.3811796
