cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.3165379155897,-448.0935964824307,-321.4510805468732,-309.15212830687284,-306.4428737794893,-296.0381276106496,-278.74158658466183,-272.43511609643167
co2_storage_shadow,57.0142757896961,300.1528652412898,196.5572431569106,190.29719779057126,192.67602963724704,176.67290822116342,164.64507634366106,173.97553116979697
line_volume,309287071.3121464,475315671.5045439,475315675.5840666,475459069.7586926,476943304.7483367,477014987.3120184,477049289.6645546,477053399.8090441
line_volume_AC,189264015.1688057,201738695.06001905,201738695.28785965,201882089.03829086,201893530.07513893,201965212.06626266,201999513.22683504,202003590.51099756
line_volume_DC,120023056.14334072,273576976.4445249,273576980.296207,273576980.72040176,275049774.67319775,275049775.24575573,275049776.4377196,275049809.2980466
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713787718238.8491,839500643785.9059,771000646838.4602,736960074130.4844,682374574358.9197,665283047261.5049,655036479723.9612,640186691169.0618
