cluster,,,39,39,39,39,39,39,39,39
ll,,,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,,,
planning_horizon,,,2030,2040,2050,2060,2070,2080,2090,2100
AC,generators,offwind-ac,313710047.97579557,965517600.4561019,933606612.2954044,928607492.7537577,800852375.0905207,796406577.4488369,749533559.9440953,639782757.8321275
AC,generators,offwind-dc,492021760.4862137,1277363756.893234,1281454459.9283357,1246379720.1669827,1237780028.0832856,1231771950.1342955,1156682354.522797,941250003.4464779
AC,generators,offwind-float,109668977.8923607,527512087.8337379,546733885.0378186,531666764.77872634,425124360.7399919,405892044.0977031,305699138.76506835,261774483.08684886
AC,generators,onwind,1086378226.9578412,2282695127.9057364,2234203158.6145735,2221938209.5564814,2019925723.029114,1941045445.0196164,1956993136.3117805,1951159941.234589
AC,generators,ror,167104962.55973598,167019265.70715144,167092506.2058762,167059698.6582406,167134926.42483202,166932158.71118364,166904919.57945645,167036172.79721326
AC,generators,solar,303014490.91827154,1534423352.5154762,2152229852.253171,2422646860.0569887,2907214218.066038,3195659048.275556,3431068212.024639,3827237457.66974
AC,generators,solar-hsat,196879436.69298756,160497577.07799473,148089947.39125055,139560265.0970511,211.55894336171477,215.9237797741065,119.84610153215023,97.84679783848894
AC,lines,AC0,108691014.99281466,101816636.73892641,109508068.41656229,59191521.51008307,34332725.101890765,14450246.091119975,-14711348.250814095,63493375.71854594
AC,lines,AC1,-122682547.19574662,-122510698.1891294,-130818015.75253356,-80659870.80644433,-59781984.384165324,-40965122.615241595,-13775605.435510132,-90787116.25076298
AC,links,CCGT1,213088117.17566845,19987924.62888019,17273651.36469346,3701940.1697207047,,,,
AC,links,DAC0,-31.32006894496628,-3242381.9365732027,-34091685.50846612,-37324296.20573157,-43344495.4983146,-55426235.788145736,-62490825.42082265,-67299277.16198044
AC,links,DC0,-728987998.1029103,-1625546015.817535,-1645902095.8670309,-1635145030.7394865,-1720604089.5165253,-1716927154.9328823,-1731496480.056209,-1745335044.746471
AC,links,DC1,701168113.6256895,1561417786.6917136,1581144508.7901254,1570698889.0987308,1652941047.3972485,1649354327.1212435,1663309912.3921013,1676758333.2874098
AC,links,H2 Electrolysis0,-108.36558811092705,-2766752559.0186296,-2842858452.128149,-3033677249.5794253,-2940868579.805824,-3097132848.370019,-3097132860.165257,-3097132913.4153376
AC,links,H2 Fuel Cell1,45.000423303299726,16.934773352874924,2.6037493395905984,8.636329682151676,50.00046701123752,48.60837287848487,37.82239377984652,33.07005332155394
AC,links,H2 pipeline2,-269.81828899343344,-2094916.8679087833,-2797707.803633732,-3816968.106079119,-4361305.0390471965,-4061579.0833081384,-4246292.142197019,-4270631.239721733
AC,links,OCGT1,82.41184410023435,1206.9721799519157,3085.8907690469296,17.710639897627736,733697.0688484941,826544.3656555819,794803.2089702513,339994.3528899182
AC,links,battery charger0,-23857304.971139282,-516165566.47082907,-762237091.2986574,-929416873.0611615,-1162837974.4282095,-1327083506.768364,-1454774690.6204433,-1671886108.6714191
AC,links,battery discharger1,22903012.773500506,495518943.8135377,731747607.6466894,892240198.139081,1116324455.4539504,1274000166.5009704,1396583702.9981062,1605010664.326179
AC,links,coal1,33.98454441612368,53477.5430911682,70531.17757274967,205590.12982388382,,,,
AC,links,electricity distribution grid0,-3275185485.699682,-4338874848.408508,-4707704460.678137,-4694773546.896016,-4664501345.312479,-4668301875.925462,-4677079930.629678,-4682486188.218715
AC,links,electricity distribution grid1,7393161.614319596,9397794.452029672,4002149.3078976274,4326756.566039717,5025783.077264267,5486752.868868412,4294722.06476579,4374140.926375792
AC,links,lignite1,2813.3634714311447,28587.780580406004,131381.12803916913,109350.13714155844,,,,
AC,links,methanolisation2,-43252204.6131752,-97764324.75595258,-138648414.82964715,-138648414.84053534,-138648414.9270654,-138648414.93408647,-138648414.9228928,-138648414.88066527
AC,links,nuclear1,0.08044885342060817,0.04721440637547751,0.005307514287709323,0.010296569414457293,0.05854435709583533,0.07031271076310881,0.05770104479595555,0.03617241571082492
AC,links,oil1,8.557188655738713,9291.414231979528,15561.23205705897,,,,,
AC,links,urban central gas CHP CC1,115.88352818751413,27.299307824772438,10.504179487167804,25.051603695742813,170.48090669305805,134.7043550842942,106.18011650945036,82.18255250481963
AC,links,urban central gas CHP1,202.5499882988775,26.231810709056987,1894971.1538902621,14568351.68823197,18726922.173581403,17418604.841101296,17110138.016147047,17902686.21778948
AC,links,urban central solid biomass CHP CC1,56.31954968226685,21224206.924509995,17886375.395559076,33075004.7688093,32623001.499688335,32943146.339563146,24449331.391061526,18668097.45061743
AC,links,urban central solid biomass CHP1,162448688.0002949,35762034.04930626,20515320.542168085,75.80980531067014,864.90113014825,432.1079888880334,4539260.80364871,6463654.639153226
AC,storage_units,PHS,-31392280.723004363,-28144963.470439028,-23432165.001307625,-23349284.971751794,-24689225.513114844,-24424037.836755257,-24429859.738445938,-24240313.334458575
AC,storage_units,hydro,340884861.88904214,340849545.5606789,340886442.03544116,340834794.7920965,340896854.699423,340782933.6059544,340822851.8061556,340834032.0916574
EV battery,links,BEV charger1,379953821.6276711,804393338.2405009,1092132846.8758535,1090638783.4064252,1091980870.2081697,1087236928.2024305,1087127497.5833476,1089216762.607828
EV battery,links,V2G0,-85790605.56585507,-118012500.68327641,-111588793.19197333,-110094729.72613434,-111436816.55832013,-106692874.55570251,-106583443.92966871,-108672708.94411722
