cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.40800054260161,-447.56542820613134,-323.62813095802363,-313.79689806285717,-306.43421662990136,-304.2552525308001,-302.4139068470068,-300.85067963553047
co2_storage_shadow,57.10408104788626,300.0476083862882,197.639707460127,194.80145211181622,192.10267503377227,185.23712709116063,189.46289966076492,201.1409637237831
line_volume,308890602.89609253,480909530.62878144,485813969.87196916,489316821.2155863,493997930.6544163,495305236.009166,498434811.7389913,502552651.7025031
line_volume_AC,189323704.0817356,202303694.2498463,205075643.18185192,205885276.94854417,208866956.06377438,209913160.31686673,212359988.82019806,213850263.89339557
line_volume_DC,119566898.8143569,278605836.3789351,280738326.69011724,283431544.26704216,285130974.590642,285392075.69229925,286074822.91879326,288702387.80910754
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713949856159.9528,839726756035.372,773064295715.0807,740935445119.8506,689872921922.8011,672537463498.6647,665705144751.0417,656222016082.7816
