cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556,713805673856.556
39,vopt,,2040,839367555844.7991,759868498498.8307,688573747407.6453,624568290665.8519,567046645203.6338,515298867125.2355,468698459095.7443,426691902854.55164,388789585976.8684,354557926546.46375
39,vopt,,2050,772864069858.7653,633396474775.1283,520115363404.17206,427916096762.5718,352725072671.544,291284339620.1925,240982670222.37985,199722762243.57007,165816600755.20154,137902823665.64362
39,vopt,,2060,734821552490.6757,545180950276.7464,405673587725.1261,302736750233.081,226559202262.08594,170021136032.62906,127939876700.10707,96531388973.76001,73024605786.62706,55384335262.59469
39,vopt,,2070,663532295099.8854,445663548739.1085,300507416616.5997,203410364137.21384,138206507849.36386,94251897585.73239,64510061344.85659,44310939482.7362,30543010818.333836,21125264139.208748
39,vopt,,2080,638059369960.3744,387964869392.4776,237056846392.6413,145545859614.15094,89783002685.0033,55641155090.19359,34639197936.938515,21660685985.57405,13604209658.684385,8580966246.71948
39,vopt,,2090,620565465464.3387,341590022129.08234,189137349050.44882,105330494010.73848,58991202006.76415,33222297212.620296,18812031076.180866,10709296489.261822,6128614073.817458,3525313360.7885537
39,vopt,,2100,603690710431.1616,300828049753.5067,150939347996.59445,76244542644.60587,38768655694.790596,19841000045.389153,10218894710.62758,5296025347.555934,2761541721.2563453,1448637212.560154
39,vopt,,cumulative cost,49279585008626.97,36209812256164.05,27734368215232.086,22045329636741.887,18095987974540.684,15265430296175.758,13175945806597.992,11591778256315.096,10361902348584.389,9387037847559.77
