cluster,ll,opt,node,planning_horizon,0.0,0.02,0.05
39,vopt,,BA0 0,2080,1326858374.3183773,492964881.6929298,115706995.40507637
39,vopt,,BA0 0,2090,1572250665.7284129,479194121.34248716,84171262.85054468
39,vopt,,BA0 0,2100,1588385485.3069904,397140233.1969955,52204143.51508414
39,vopt,,BE0 0,2030,7400433039.074001,7400433039.074001,7400433039.074001
39,vopt,,BE0 0,2040,9435662591.170223,7740529764.862094,5792678320.658142
39,vopt,,BE0 0,2050,9081768696.806902,6111769986.869166,3422823107.711756
39,vopt,,BE0 0,2060,8058036763.268317,4448607519.330349,1864447987.4601302
39,vopt,,BE0 0,2070,9520757873.910599,4311859986.3934765,1352382548.2153718
39,vopt,,BE0 0,2080,10646548184.509827,3955489498.953583,928418681.0802879
39,vopt,,BE0 0,2090,11150656366.809443,3398522319.98244,596956228.714323
39,vopt,,BE0 0,2100,11010857596.742823,2753018454.348444,361884690.78929013
39,vopt,,BG0 0,2030,2925146544.4998755,2925146544.4998755,2925146544.4998755
39,vopt,,BG0 0,2040,3478882282.634402,2853895166.0249305,2135731940.8173885
39,vopt,,BG0 0,2050,3425507394.5537043,2305268277.884315,1291037710.5109847
39,vopt,,BG0 0,2060,2545224361.315005,1405144275.8045025,588907518.9778011
39,vopt,,BG0 0,2070,2968088728.2089005,1344218936.4251482,421604188.5261966
39,vopt,,BG0 0,2080,3248135347.25127,1206772846.425987,283249507.99103796
39,vopt,,BG0 0,2090,3211227783.2630363,978725281.8992431,171914761.24628
39,vopt,,BG0 0,2100,3227047098.149422,806850886.6089605,106060670.66217786
39,vopt,,CH0 0,2030,8721980732.447071,8721980732.447071,8721980732.447071
39,vopt,,CH0 0,2040,10689490798.054773,8769105602.71535,6562420074.527812
39,vopt,,CH0 0,2050,10696447205.18611,7198402335.194052,4031378455.7409434
39,vopt,,CH0 0,2060,10295509858.376354,5683851280.015278,2382148803.6423535
39,vopt,,CH0 0,2070,8873095645.93585,4018539971.0661974,1260384925.1425807
39,vopt,,CH0 0,2080,7558761602.213166,2808290689.572856,659152183.0087101
39,vopt,,CH0 0,2090,7484295275.94723,2281080477.052107,400675667.4712469
39,vopt,,CH0 0,2100,9762847707.170921,2440981519.2583776,320867388.6380659
39,vopt,,CZ0 0,2030,3285340614.6983275,3285340614.6983275,3285340614.6983275
39,vopt,,CZ0 0,2040,6695780809.648064,5492872403.531479,4110628581.8468213
39,vopt,,CZ0 0,2050,6269167277.916501,4218969860.496879,2362783213.418286
39,vopt,,CZ0 0,2060,8788026234.398993,4851613455.603436,2033351088.8359847
39,vopt,,CZ0 0,2070,8573666931.414995,3882931576.228466,1217852369.0881708
39,vopt,,CZ0 0,2080,9096772049.348404,3379704453.686152,793272426.1213602
39,vopt,,CZ0 0,2090,8940473445.20029,2724897759.8452735,478632928.43042046
39,vopt,,CZ0 0,2100,13845539866.974342,3461767299.167783,455049833.2712047
39,vopt,,DE0 0,2030,48681751788.942085,48681751788.942085,48681751788.942085
39,vopt,,DE0 0,2040,61683395469.09657,50601868603.60022,37868254001.8744
39,vopt,,DE0 0,2050,56021917939.85382,37701144799.253624,21114071681.90517
39,vopt,,DE0 0,2060,55747287568.5954,30776454606.213238,12898665167.106024
39,vopt,,DE0 0,2070,69576471194.07913,31510516926.210114,9883037322.808584
39,vopt,,DE0 0,2080,74067892781.21608,27518287338.612072,6458996299.512717
39,vopt,,DE0 0,2090,72141892059.24731,21987569368.462975,3862153975.4548516
39,vopt,,DE0 0,2100,75989610632.13222,18999501044.396168,2497487276.0994096
39,vopt,,DK0 0,2030,6956904498.419231,6956904498.419231,6956904498.419231
39,vopt,,DK0 0,2040,27623883074.452347,22661205516.077057,16958667933.66655
39,vopt,,DK0 0,2050,28137805526.92823,18935936496.192158,10604842974.225033
39,vopt,,DK0 0,2060,27614791838.727196,15245322679.40133,6389440080.807304
39,vopt,,DK0 0,2070,26694158056.72683,12089528325.331327,3791789894.5992165
39,vopt,,DK0 0,2080,26834525607.054665,9969774466.670736,2340070644.4709473
39,vopt,,DK0 0,2090,26533871513.41583,8087053497.792627,1420504708.4928975
39,vopt,,DK0 0,2100,12966626428.610107,3242014669.1539903,426163316.932361
39,vopt,,DK1 0,2030,2290990760.612675,2290990760.612675,2290990760.612675
39,vopt,,DK1 0,2040,5530977430.020275,4537327931.364987,3395540349.3242536
39,vopt,,DK1 0,2050,5621706301.656853,3783247184.1679792,2118761980.8953388
39,vopt,,DK1 0,2060,5433716080.788884,2999796467.18556,1257239363.4932392
39,vopt,,DK1 0,2070,5468462074.365984,2476614059.2843275,776771426.4865079
39,vopt,,DK1 0,2080,5124906728.4394455,1904045742.9153223,446910967.105749
39,vopt,,DK1 0,2090,4790313469.575802,1460002596.3067236,256451940.50362608
39,vopt,,DK1 0,2100,2661722709.228324,665504178.4421568,87480624.56832278
39,vopt,,EE0 0,2030,1052724894.3221215,1052724894.3221215,1052724894.3221215
