cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.31518784407733,-445.8520181486668,-323.36178978672706,-309.15208420584526,-306.4454817369538,-254.16695309029146,-233.30699656309835,-225.33461353922013
co2_storage_shadow,57.011687298022316,298.9162723065917,197.3582559922471,190.64610230330732,193.01059932439676,140.7171004273673,124.8051077859987,131.7880946891906
line_volume,309134452.194056,490781164.607841,495773598.86120164,496628039.1313976,496688248.78068745,496688255.945854,496688339.3659617,496799920.7865521
line_volume_AC,189422424.22577253,204232830.2354221,206869967.51499918,207724405.47611964,207784608.1795088,207784610.62730432,207784692.30277413,207896269.69051865
line_volume_DC,119712027.96828344,286548334.3724189,288903631.3462025,288903633.65527797,288903640.60117865,288903645.3185497,288903647.06318754,288903651.0960334
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713805673856.556,839367555844.7991,772864069858.7653,734821552490.6757,663532295099.8854,638059369960.3744,620565465464.3387,603690710431.1616
