cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
CCGT,84.01629496180811,239.24667703113755,207.56110886942727,290.0675079926737,,,,
DAC,57.75376682595436,49.63834909876776,45.11680119842964,37.35301976795853,35.66081171190297,28.884171386026733,27.573431817820715,25.011194546835725
DC,59.895219736226515,71.04700197749418,65.4708471710205,60.95932463904498,45.98933474360878,36.71357958173328,34.86929696898617,28.808131072647335
H2 Electrolysis,43.02328530627293,42.20563783430367,37.904630451192695,35.57993762136788,36.1890631515575,30.395657405143037,30.18001523951798,27.83200900983673
H2 Fuel Cell,67.27283185521381,77.53781589233701,74.8457970750005,79.94187504172822,49.31784765822293,41.92755126293594,37.21827631811013,35.88862488447019
OCGT,70.41447238188341,390.30687773638647,314.5708736367817,374.2604495219024,77.73912741740085,56.80385189071089,39.16051227607188,37.02839006162194
battery charger,26.038811826552582,34.71638897094605,32.32672310583441,29.354935953745205,26.117991597883822,24.12878793169847,23.196070418871916,18.64224288570449
battery discharger,77.50966914860504,68.57141210952281,58.97295549985312,53.86885933338988,49.170518351055144,38.156191343460186,35.58148144603502,36.18754411125881
coal,70.82041820737341,559.2445590961207,443.67082839286275,742.0688316434431,,,,
electricity distribution grid,27.30294637051865,25.33880613383805,31.02039058369154,22.43193483894401,13.31594832265345,12.225319098120135,10.958652108123674,9.755177289720123
fusion,,,77.02584270815228,64.81855882374973,51.1556722814054,40.11032538065931,36.754889992315796,34.56023060734639
lignite,148.43590805584338,577.9101458583458,607.1463921410807,641.6540833817946,,,,
nuclear,60.21709155225763,65.4971860951659,60.22204721469247,55.166766486489685,46.90792648852523,38.05863897608957,35.91597871273413,33.82752111246212
offwind-ac,54.969759766960145,50.103221014440535,46.55079075948463,46.1986527259012,42.521993911841335,34.560121563104786,34.09037287568605,39.35133544525078
offwind-dc,52.24583610626549,50.93695672549892,47.814392993903475,46.69709370229415,43.4650119606501,35.4383677358683,34.52507230008362,38.87373264746394
offwind-float,58.015667287911974,57.17443056089356,53.581478347428416,53.89377753202196,48.53755725983475,39.87623184737826,40.6628031790673,39.61662499295658
oil,62.7448129390813,567.2710468243815,423.05807323071895,,,,,
onwind,42.408929197361736,44.49580026596921,41.03485837389105,37.87347402470597,35.14341300408787,28.42168003417734,31.810571884020458,33.15919425642316
ror,59.88195126753703,58.990109647758345,54.15026781204974,49.97826443974363,43.143730173043814,34.676256558032414,32.18716703090377,30.133584884322058
solar,36.30105337505122,35.72117004970296,33.407585840651706,30.54613696332831,27.860045439341558,25.662265144330753,24.736683312732147,21.022254818694723
solar-hsat,35.141371982686195,40.18752372226761,40.66862786100002,38.776893317300264,35.20198470107035,28.978983358992046,28.192125091693722,24.93259435961269
urban central gas CHP,75.96960042512491,140.89750778481203,225.77876072653908,235.25235414829314,186.81798267091241,180.56507321526314,45.24847076781733,42.98979676789287
urban central gas CHP CC,71.16385818769317,107.94988061247297,106.02432787412177,100.48976295716577,66.89463818937955,54.105450348135,47.58669311882338,45.63468990360414
urban central solid biomass CHP,69.52683072029573,118.5853844916804,128.8013132773167,101.03844349338209,70.44250370971777,57.97121557623375,53.759823750188936,52.85318491726763
urban central solid biomass CHP CC,64.64838433779819,101.30709415991544,101.9190677501136,85.14210556918033,65.33810389224432,51.24730345632369,48.545294282168875,48.477664583602824
