cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568,713918673590.5568
39,vopt,,2040,839373010285.1827,759873436332.5552,688578221948.5408,624572349281.7506,567050330028.118,515302215678.4776,468701504826.76556,426694675615.45966,388792112438.13525,354560230561.02734
39,vopt,,2050,772652244551.3025,633222874515.7196,519972811044.62286,427798814225.70654,352628398366.3429,291204504889.60345,240916622090.23886,199668022558.8448,165771154015.2026,137865027487.55463
39,vopt,,2060,740639742589.5378,549497598851.1344,408885641105.25903,305133767518.15875,228353058883.38327,171367334013.49857,128952882539.88292,97295707834.1049,73602801998.91965,55822858860.55486
39,vopt,,2070,689875921777.6443,463357328286.1929,312438192640.17474,211486183106.07217,143693596683.03143,97993896011.43846,67071246362.64447,46070176909.602135,31755632540.825603,21963981525.027306
39,vopt,,2080,672924892245.0167,409164460584.5979,250010360046.30484,153498932087.84528,94689021510.63466,58681558576.25298,36531990025.655075,22844292348.062817,14347585428.010153,9049856578.848513
39,vopt,,2090,666084805962.5015,366646125624.0361,203010836815.201,113056632329.00108,63318288768.726585,35659198946.78444,20191919735.27336,11494838290.279915,6578156444.982423,3783900001.7844152
39,vopt,,2100,656598262155.1993,327192668799.91815,164167696923.18106,82926626721.67247,42166346964.51146,21579868505.71104,11114480299.610525,5760169867.532908,3003563685.3695707,1575596012.7016244
39,vopt,,cumulative cost,50668090852840.64,37023174953894.734,28219392488569.723,22339693287046.49,18277752045177.71,15379579791641.895,13248827425255.44,11639071352853.99,10393085615040.389,9407929898164.262
