cluster,39,39,39,39,39,39,39,39
ll,vopt,vopt,vopt,vopt,vopt,vopt,vopt,vopt
opt,,,,,,,,
planning_horizon,2030,2040,2050,2060,2070,2080,2090,2100
co2_shadow,-105.43313158517796,-445.94441386853714,-323.2623069573908,-311.1757333284407,-306.4323504088493,-304.2470097707796,-302.41540493771026,-300.84936361171896
co2_storage_shadow,57.13029456762751,299.37700213661884,197.28104506422238,192.20333682628632,192.0939621641751,185.38786685015023,189.5593517753527,201.21147057184106
line_volume,308947761.61997855,493834271.92629313,498977604.3657304,503574306.16693246,510837861.5431851,511540752.3414601,515206276.71413004,518386386.9496684
line_volume_AC,189326743.82999086,204149081.22699383,206711393.24179193,207838098.1682954,211515096.79595074,211926258.71976528,214667007.95042327,215259196.07846203
line_volume_DC,119621017.78998768,289685190.6992993,292266211.1239385,295736207.9986371,299322764.7472344,299614493.6216948,300539268.76370674,303127190.87120634
line_volume_limit,,,,,,,,
line_volume_shadow,,,,,,,,
total costs,713918673590.5568,839373010285.1827,772652244551.3025,740639742589.5378,689875921777.6443,672924892245.0167,666084805962.5015,656598262155.1993
