cluster,ll,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
39,vopt,,2030,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795,713880510278.7795
39,vopt,,2040,835164272438.0864,756063320863.8563,685125591011.055,621440653060.3307,564207057542.6387,512718415733.4666,466351367595.542,424555166710.10767,386842652474.3047,352782414211.023
39,vopt,,2050,766593835256.9583,628257738679.4998,515895675265.29376,424444419890.491,349863419449.6596,288921154143.62506,239027581434.85175,198102414470.3621,164471333161.38098,136784020126.49963
39,vopt,,2060,733743232173.758,544380919720.9098,405078278469.1603,302292496539.9939,226226735978.32523,169771637028.86688,127752130208.56496,96389733142.35732,72917445189.89752,55303061035.198654
39,vopt,,2070,685749228373.5201,460585621708.19824,310569252751.0388,210221117013.26175,142834051656.26956,97407717031.20558,66670040201.89326,45794594751.74134,31565676991.9896,21832597583.61639
39,vopt,,2080,659807377728.8247,401188502475.3323,245136837659.33435,150506734157.45703,92843221736.38956,57537662421.82674,35819861651.46435,22398982121.10997,14067903902.934837,8873445174.826208
39,vopt,,2090,651378339772.8673,358550956958.1503,198528566718.32062,110560458379.41252,61920286195.139595,34871880576.86227,19746102953.037193,11241044104.977884,6432917528.732914,3700355388.6314588
39,vopt,,2100,638043843336.8091,317946726248.54175,159528579854.60242,80583252619.00612,40974793305.729195,20970055867.787685,10800402827.41189,5597396661.529487,2918687769.945838,1531072184.3681562
39,vopt,,cumulative cost,50083984625518.09,36649406786696.08,27970387469408.938,22166977604898.4,18153224243506.766,15286537500091.37,13177075405984.492,11582208887708.11,10346975282736.033,9369816847513.693
